# -------
# invalid: data/dm-tempo-mensal.csv.gz
# -------

====  =====  ==========  =================================================================================================================
row   field  code        message                                                                                                          
====  =====  ==========  =================================================================================================================
 151      2  type-error  Type error in the cell "193814" in row "151" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 151      5  type-error  Type error in the cell "14/1938" in row "151" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 152      2  type-error  Type error in the cell "193813" in row "152" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 152      5  type-error  Type error in the cell "13/1938" in row "152" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 163      2  type-error  Type error in the cell "202500" in row "163" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 163      5  type-error  Type error in the cell "00/2025" in row "163" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 164      2  type-error  Type error in the cell "202514" in row "164" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 164      5  type-error  Type error in the cell "14/2025" in row "164" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 165      2  type-error  Type error in the cell "202513" in row "165" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 165      5  type-error  Type error in the cell "13/2025" in row "165" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 178      2  type-error  Type error in the cell "202600" in row "178" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 178      5  type-error  Type error in the cell "00/2026" in row "178" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 179      2  type-error  Type error in the cell "202614" in row "179" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 179      5  type-error  Type error in the cell "14/2026" in row "179" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 180      2  type-error  Type error in the cell "202613" in row "180" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 180      5  type-error  Type error in the cell "13/2026" in row "180" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 193      2  type-error  Type error in the cell "202700" in row "193" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 193      5  type-error  Type error in the cell "00/2027" in row "193" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 194      2  type-error  Type error in the cell "202714" in row "194" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 194      5  type-error  Type error in the cell "14/2027" in row "194" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 195      2  type-error  Type error in the cell "202713" in row "195" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 195      5  type-error  Type error in the cell "13/2027" in row "195" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 208      2  type-error  Type error in the cell "202800" in row "208" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 208      5  type-error  Type error in the cell "00/2028" in row "208" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 209      2  type-error  Type error in the cell "202814" in row "209" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 209      5  type-error  Type error in the cell "14/2028" in row "209" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 210      2  type-error  Type error in the cell "202813" in row "210" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 210      5  type-error  Type error in the cell "13/2028" in row "210" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 223      2  type-error  Type error in the cell "202900" in row "223" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 223      5  type-error  Type error in the cell "00/2029" in row "223" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 224      2  type-error  Type error in the cell "202914" in row "224" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 224      5  type-error  Type error in the cell "14/2029" in row "224" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 225      2  type-error  Type error in the cell "190000" in row "225" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 225      5  type-error  Type error in the cell "00/1900" in row "225" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 226      2  type-error  Type error in the cell "190014" in row "226" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 226      5  type-error  Type error in the cell "14/1900" in row "226" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 232      2  type-error  Type error in the cell "195600" in row "232" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 232      5  type-error  Type error in the cell "00/1956" in row "232" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 233      2  type-error  Type error in the cell "195614" in row "233" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 233      5  type-error  Type error in the cell "14/1956" in row "233" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 234      2  type-error  Type error in the cell "195613" in row "234" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 234      5  type-error  Type error in the cell "13/1956" in row "234" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 247      2  type-error  Type error in the cell "195700" in row "247" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 247      5  type-error  Type error in the cell "00/1957" in row "247" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 248      2  type-error  Type error in the cell "195714" in row "248" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 248      5  type-error  Type error in the cell "14/1957" in row "248" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 249      2  type-error  Type error in the cell "195713" in row "249" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 249      5  type-error  Type error in the cell "13/1957" in row "249" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 253      2  type-error  Type error in the cell "191800" in row "253" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 253      5  type-error  Type error in the cell "00/1918" in row "253" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 265      2  type-error  Type error in the cell "191814" in row "265" and field "anomes_iso" at position "2": type is "date/%Y%m"         
